Gene,Contribution,Gene Title,Gene Symbol
201694_s_at,4.666932354232742,early growth response 1,EGR1
231509_at,4.539878775858206,"protein phosphatase 1, regulatory subunit 17",PPP1R17
208428_at,4.538231514230905,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",TAP2
1554558_at,4.4202888134847385,DDB1 and CUL4 associated factor 5,DCAF5
235931_at,4.32287490116364,methyltransferase like 21A,METTL21A
217022_s_at,4.304628538274457,immunoglobulin heavy locus /// immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker),IGH /// IGHA1 /// IGHA2
215356_at,4.097336661583668,tudor domain containing 12,TDRD12
219890_at,4.09577643954972,"C-type lectin domain family 5, member A",CLEC5A
207324_s_at,3.9698882421664545,desmocollin 1,DSC1
204470_at,3.916514241645976,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",CXCL1
243337_at,3.790578491007936,FRAS1 related extracellular matrix 3,FREM3
235557_at,3.7883774983641674,"glycerol-3-phosphate acyltransferase 2, mitochondrial",GPAT2
219226_at,3.666577375922055,cyclin-dependent kinase 12,CDK12
242594_at,3.559471882996161,biorientation of chromosomes in cell division 1-like 1,BOD1L1
239964_at,3.558140608141369,T-cell leukemia/lymphoma 6 (non-protein coding),TCL6
231013_at,3.52382213046788,,
230187_s_at,3.4686347565452667,uncharacterized LOC101929855 /// uncharacterized LOC102724851,LOC101929855 /// LOC102724851
205239_at,3.436386164866524,amphiregulin,AREG
211748_x_at,3.416662347206907,prostaglandin D2 synthase 21kDa (brain),PTGDS
1557348_at,3.386674254257929,,
206254_at,3.37374098895439,epidermal growth factor,EGF
230903_s_at,3.372169715939234,testis development related protein,TDRP
237841_at,3.339720366285569,,
235719_at,3.3174980762194597,"cytochrome P450, family 4, subfamily V, polypeptide 2",CYP4V2
203881_s_at,3.3028928664320714,dystrophin,DMD
217506_at,3.2821030377904057,,
1559910_at,3.2195325798448273,,
1559835_at,3.1927715619019805,long intergenic non-protein coding RNA 1410,LINC01410
238946_at,3.1760543171258657,,
232235_at,3.168731390840746,dermatan sulfate epimerase-like,DSEL
239827_at,3.1385198420275926,regulator of cell cycle,RGCC
235885_at,3.132191901476356,"purinergic receptor P2Y, G-protein coupled, 12",P2RY12
205249_at,3.1109941165869803,early growth response 2,EGR2
213831_at,3.0697042544606568,"major histocompatibility complex, class II, DQ alpha 1 /// HLA class II histocompatibility antigen, DQ alpha 1 chain-like",HLA-DQA1 /// LOC100509457
243541_at,3.040150270320217,interleukin 31 receptor A,IL31RA
234884_x_at,3.0213382752754576,cytoskeleton associated protein 2 /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda variable 3-1 ///  /// immunoglobulin lambda variable cluster,CKAP2 /// IGLC1 /// IGLV3-1 /// IGLV3-1 /// IGLV@
201215_at,3.0187553749583738,plastin 3,PLS3
1560971_a_at,2.9712725329653384,,
229357_at,2.9661576109797294,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",ADAMTS5
1566039_a_at,2.958662524265456,uncharacterized LOC100996385,LOC100996385
228287_at,2.953317940895873,"inhibitor of growth family, member 5",ING5
1568661_at,2.952855697369446,Homo sapiens cDNA clone IMAGE:5303305.,BC045560
206960_at,2.9250115908083054,lysophosphatidic acid receptor 4,LPAR4
214537_at,2.9224689991376676,"histone cluster 1, H1d",HIST1H1D
232985_s_at,2.9064589376795107,developmental pluripotency associated 4,DPPA4
202283_at,2.854477687772227,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",SERPINF1
214238_at,2.849097962238772,,AC012065.7
230780_at,2.8475575588878765,long intergenic non-protein coding RNA 886,LINC00886
243824_at,2.836686512555578,long intergenic non-protein coding RNA 1410,LINC01410
244794_at,2.8201883112211683,,
